INSERT INTO Cars(Model, PlateNumber, ChassisNumber, Color, Description, Image, YearModel, FuelType, PricePerDay, Odometer, FuelBar, ManufacturerId, isActive)
VALUES
('Toyota Corolla', 'ABC123', 'JH4TB2H26CC000001', 'Red', 'A reliable and fuel-efficient sedan perfect for city driving.', 'car.png', 2020, 'Petrol', 1200, 12000, 80, 1, 1),
('Honda Civic', 'XYZ789', '1HGCM82633A000002', 'Blue', 'A stylish and comfortable car with great handling.', 'car.png', 2019, 'Diesel', 1800, 15000, 60, 1, 1),
('Ford Focus', 'LMN456', '1FAHP3F26CL000003', 'Black', 'A compact car that offers a smooth ride and advanced features.', 'car.png', 2021, 'Hybrid', 2000, 8000, 70, 1, 1),
('Chevrolet Malibu', 'QWE321', '1G1ZD5ST4JF000004', 'White', 'A midsize car with a spacious interior and modern technology.', 'car.png', 2018, 'Petrol', 2200, 20000, 50, 1, 1),
('Nissan Altima', 'RTY654', '1N4AL3AP4DC000005', 'Gray', 'A reliable sedan with a comfortable ride and efficient engine.', 'car.png', 2022, 'Electric', 2500, 5000, 90, 1, 1),
('BMW 3 Series', 'UIO987', 'WBA3A5C55DF000006', 'Silver', 'A luxury car with sporty performance and high-end features.', 'car.png', 2020, 'Petrol', 2300, 10000, 75, 1, 1),
('Mercedes C Class', 'JKL234', 'WDDGF4HB9EG000007', 'Green', 'A premium sedan offering elegance and advanced safety features.', 'car.png', 2021, 'Diesel', 2100, 12000, 85, 1, 1),
('Audi A4', 'DFG567', 'WAUANAF48JN000008', 'Blue', 'A sophisticated car with a powerful engine and sleek design.', 'car.png', 2019, 'Hybrid', 1900, 14000, 80, 1, 1),
('Volkswagen Jetta', 'HJK890', '3VWDP7AJ9CM000009', 'Black', 'A compact sedan that combines style with practicality.', 'car.png', 2018, 'Petrol', 1700, 18000, 55, 1, 1),
('Kia Optima', 'GHJ123', '5XXGM4A74CG000010', 'Red', 'A well-equipped car offering comfort and value.', 'car.png', 2022, 'Electric', 1600, 3000, 95, 1, 1),
('Hyundai Elantra', 'KLM456', 'KMHD84LF4LU000011', 'Blue', 'A compact car known for its reliability and fuel efficiency.', 'car.png', 2021, 'Petrol', 1400, 9000, 70, 1, 1),
('Mazda 3', 'NMO789', 'JM1BPACM2L11600012', 'White', 'A sporty car with agile handling and a premium interior.', 'car.png', 2020, 'Diesel', 1300, 11000, 65, 1, 1),
('Subaru Impreza', 'POI321', 'JF1GPAD64CH000013', 'Gray', 'A versatile car with all-wheel drive and advanced safety features.', 'car.png', 2019, 'Hybrid', 1500, 17000, 75, 1, 1),
('Tesla Model 3', 'QWE654', '5YJ3E1EA5LF000014', 'Black', 'A cutting-edge electric car with impressive range and performance.', 'car.png', 2022, 'Electric', 1600, 4000, 85, 1, 1),
('Lexus ES', 'RTY987', '58ADZ1B12KU000015', 'Red', 'A luxurious sedan offering a smooth and quiet ride.', 'car.png', 2021, 'Petrol', 2000, 10000, 60, 1, 1),
('Infiniti Q50', 'ZXC123', 'JN1EV7AR9LM000016', 'Blue', 'A premium car with a powerful engine and refined interior.', 'car.png', 2020, 'Diesel', 2200, 13000, 65, 1, 1),
('Acura TLX', 'VBN456', '19UUB1F55KA000017', 'Silver', 'A sporty sedan with advanced technology and dynamic performance.', 'car.png', 2019, 'Hybrid', 2400, 16000, 80, 1, 1),
('Cadillac ATS', 'MNB789', '1G6AA5RA8J0000018', 'White', 'A luxury car that combines performance with comfort.', 'car.png', 2018, 'Petrol', 1800, 22000, 55, 1, 1),
('Buick Regal', 'CXZ321', '2G4GN5EC0D000019', 'Black', 'A stylish car offering a comfortable ride and advanced features.', 'car.png', 2021, 'Diesel', 1900, 7000, 60, 1, 1),
('Genesis G70', 'LKI654', 'KMTG44LAXMU000020', 'Gray', 'A luxury sports sedan with powerful performance and elegant design.', 'car.png', 2022, 'Hybrid', 1700, 3000, 75, 1, 1),
('Jaguar XE', 'OPQ987', 'SAJAD4GX7LCP000021', 'Blue', 'A premium sedan that delivers a smooth and exhilarating ride.', 'car.png', 2020, 'Petrol', 1800, 14000, 80, 1, 1),
('Alfa Romeo Giulia', 'WER123', 'ZARFAEBN7K0000022', 'Red', 'A stylish and sporty car with Italian flair and performance.', 'car.png', 2021, 'Diesel', 1900, 8000, 70, 1, 1),
